2015年2月9日	2.326	2.323	2.346	2.300	7.98M	0.04%
2015年2月10日	2.373	2.318	2.376	2.318	8.54M	2.02%
2015年2月11日	2.378	2.385	2.388	2.370	3.83M	0.21%
2015年2月12日	2.383	2.380	2.386	2.359	3.63M	0.21%
2015年2月13日	2.410	2.387	2.436	2.387	4.44M	1.13%
2015年2月16日	2.419	2.413	2.421	2.402	8.39M	0.37%
2015年2月17日	2.442	2.419	2.448	2.419	10.45M	0.95%
2015年2月25日	2.429	2.448	2.453	2.420	4.44M	-0.53%
2015年2月26日	2.503	2.427	2.505	2.427	7.44M	3.05%
2015年2月27日	2.503	2.500	2.513	2.490	6.66M	0.00%
2015年3月2日	2.527	2.511	2.530	2.500	15.74M	0.96%
2015年3月3日	2.495	2.526	2.526	2.494	10.35M	-1.27%
2015年3月4日	2.498	2.495	2.507	2.481	5.68M	0.12%
2015年3月5日	2.468	2.495	2.498	2.445	6.16M	-1.20%
2015年3月6日	2.466	2.471	2.483	2.460	5.30M	-0.08%
2015年3月9日	2.538	2.430	2.539	2.430	8.25M	2.92%
2015年3月10日	2.524	2.535	2.541	2.502	7.03M	-0.55%
2015年3月11日	2.535	2.529	2.559	2.515	10.13M	0.44%
2015年3月12日	2.590	2.540	2.600	2.540	13.65M	2.17%
2015年3月13日	2.606	2.600	2.625	2.592	7.66M	0.62%
2015年3月16日	2.656	2.616	2.657	2.610	8.57M	1.92%
2015年3月17日	2.699	2.665	2.700	2.663	11.75M	1.62%
2015年3月18日	2.785	2.706	2.786	2.706	62.14M	3.19%
2015年3月19日	2.782	2.785	2.800	2.770	16.80M	-0.11%
2015年3月20日	2.818	2.790	2.826	2.782	9.83M	1.29%
2015年3月23日	2.876	2.828	2.877	2.828	10.23M	2.06%
2015年3月24日	2.899	2.875	2.912	2.822	16.36M	0.80%
2015年3月25日	2.882	2.880	2.900	2.864	7.28M	-0.59%
2015年3月26日	2.865	2.868	2.912	2.836	8.03M	-0.59%
2015年3月27日	2.886	2.866	2.896	2.850	5.63M	0.73%
2015年3月30日	2.971	2.890	2.972	2.890	8.69M	2.95%
2015年3月31日	2.935	2.981	2.998	2.928	8.03M	-1.21%
2015年4月1日	2.981	2.934	2.998	2.931	7.21M	1.57%
2015年4月2日	3.023	3.000	3.024	2.970	9.92M	1.41%
2015年4月3日	3.075	3.020	3.078	3.000	8.19M	1.72%
2015年4月7日	3.181	3.100	3.199	3.100	10.33M	3.45%
2015年4月8日	3.231	3.183	3.232	3.152	12.33M	1.57%
2015年4月9日	3.221	3.231	3.260	3.145	12.20M	-0.31%
2015年4月10日	3.292	3.209	3.294	3.182	46.77M	2.20%
2015年4月13日	3.330	3.330	3.338	3.286	9.89M	1.15%
2015年4月14日	3.346	3.302	3.375	3.290	8.50M	0.48%
2015年4月15日	3.321	3.343	3.375	3.300	8.47M	-0.75%
2015年4月16日	3.393	3.280	3.394	3.246	11.36M	2.17%
2015年4月17日	3.455	3.420	3.479	3.415	12.28M	1.83%
2015年4月20日	3.350	3.425	3.474	3.344	16.93M	-3.04%
2015年4月21日	3.412	3.360	3.419	3.335	10.13M	1.85%
2015年4月22日	3.517	3.422	3.518	3.422	8.50M	3.08%
2015年4月23日	3.527	3.530	3.555	3.500	9.76M	0.28%
2015年4月24日	3.471	3.510	3.510	3.420	10.03M	-1.59%
2015年4月27日	3.542	3.475	3.545	3.475	11.62M	2.05%
2015年4月28日	3.475	3.540	3.550	3.450	10.28M	-1.89%
2015年4月29日	3.478	3.471	3.500	3.434	5.59M	0.09%
2015年4月30日	3.477	3.488	3.515	3.470	5.17M	-0.03%
2015年5月4日	3.527	3.476	3.530	3.447	7.64M	1.44%
2015年5月5日	3.374	3.527	3.545	3.350	10.74M	-4.34%
2015年5月6日	3.299	3.369	3.420	3.266	7.79M	-2.22%
2015年5月7日	3.191	3.290	3.290	3.183	11.13M	-3.27%
2015年5月8日	3.258	3.195	3.268	3.186	8.00M	2.10%
2015年5月11日	3.369	3.271	3.369	3.250	14.90M	3.41%
2015年5月12日	3.412	3.369	3.416	3.360	6.43M	1.28%
2015年5月13日	3.383	3.410	3.415	3.375	7.04M	-0.85%
2015年5月14日	3.398	3.374	3.417	3.361	8.95M	0.44%
2015年5月15日	3.349	3.382	3.384	3.320	5.69M	-1.44%
2015年5月18日	3.307	3.338	3.355	3.300	7.26M	-1.25%
2015年5月19日	3.413	3.300	3.418	3.300	8.76M	3.21%
2015年5月20日	3.431	3.419	3.503	3.419	8.20M	0.53%
2015年5月21日	3.527	3.433	3.530	3.433	8.85M	2.80%
2015年5月22日	3.616	3.561	3.618	3.546	11.63M	2.52%
2015年5月25日	3.742	3.624	3.743	3.612	9.06M	3.48%
2015年5月26日	3.794	3.770	3.795	3.684	11.40M	1.39%
2015年5月27日	3.794	3.864	3.864	3.745	24.89M	0.00%
2015年5月28日	3.570	3.779	3.822	3.539	13.20M	-5.90%
2015年5月29日	3.533	3.545	3.660	3.391	11.93M	-1.04%
2015年6月1日	3.785	3.514	3.802	3.514	9.03M	7.13%
2015年6月2日	3.840	3.790	3.845	3.740	10.99M	1.45%
2015年6月3日	3.822	3.839	3.840	3.757	12.93M	-0.47%
2015年6月4日	3.874	3.810	3.880	3.666	15.90M	1.36%
2015年6月5日	3.960	3.910	4.039	3.885	14.28M	2.22%
2015年6月8日	4.053	3.990	4.079	3.954	31.96M	2.35%
2015年6月9日	4.067	4.054	4.070	3.995	38.86M	0.35%
2015年6月10日	4.055	4.040	4.090	3.986	18.41M	-0.30%
2015年6月11日	4.046	4.053	4.058	4.010	13.08M	-0.22%
2015年6月12日	4.154	4.049	4.159	4.049	14.14M	2.67%
2015年6月15日	4.132	4.154	4.208	4.126	46.34M	-0.53%
2015年6月16日	3.975	4.100	4.121	3.936	34.54M	-3.80%
2015年6月17日	4.069	3.952	4.075	3.860	16.59M	2.36%
2015年6月18日	3.980	4.070	4.097	3.960	238.17M	-2.19%
2015年6月19日	3.699	3.968	3.968	3.690	52.07M	-7.06%
2015年6月23日	3.755	3.700	3.755	3.503	113.61M	1.51%
2015年6月24日	3.865	3.766	3.865	3.750	207.76M	2.93%
2015年6月25日	3.738	3.860	3.890	3.695	315.41M	-3.29%
2015年6月26日	3.368	3.695	3.695	3.364	464.86M	-9.90%
2015年6月29日	3.339	3.480	3.533	3.154	593.23M	-0.86%
2015年6月30日	3.546	3.369	3.550	3.178	371.97M	6.20%
2015年7月1日	3.314	3.520	3.560	3.300	451.25M	-6.54%
2015年7月2日	3.161	3.314	3.348	3.109	331.04M	-4.62%
2015年7月3日	2.940	3.145	3.190	2.930	135.52M	-6.99%
